start,end,approve,disapprove,no_opinion
2009 Jan 9,11,34,61,5
2008 Dec 12,14,29,67,4
2008 Dec 4,7,32,61,7
2008 Nov 13,16,29,66,4
2008 Nov 7,9,28,68,5
2008 Oct 31,2-Nov,25,70,5
2008 Oct 23,26,31,66,3
2008 Oct 10,12,25,71,4
2008 Oct 3,5,25,70,6
2008 Sep 26,27,27,69,4
2008 Sep 8,11,31,65,4
2008 Sep 5,7,33,64,3
2008 Aug 21,23,29,66,5
2008 Aug 7,10,33,61,6
2008 Jul 25,27,32,65,3
2008 Jul 10,13,31,61,8
2008 Jun 15,19,28,68,4
2008 Jun 9,12,30,64,6
2008 May 30,1-Jun,28,68,4
2008 May 8,11,29,65,6
2008 May 1,3,28,67,5
2008 Apr 18,20,28,69,4
2008 Apr 6,9,28,67,5
2008 Mar 14,16,32,64,4
2008 Mar 6,9,32,64,4
2008 Feb 21,24,32,62,5
2008 Feb 11,14,31,65,4
2008 Feb 8,10,33,61,5
2008 Jan 30,2-Feb,34,61,5
2008 Jan 10,13,34,60,6
2008 Jan 4,6,32,64,4
2007 Dec 14,16,32,65,3
2007 Dec 6,9,37,57,5
2007 Nov 30,2-Dec,34,62,4
2007 Nov 11,14,32,61,7
2007 Nov 2,4,31,64,5
2007 Oct 12,14,32,64,3
2007 Oct 4,7,32,64,4
2007 Sep 14,16,36,62,2
2007 Sep 7,8,33,62,5
2007 Aug 13,16,32,63,5
2007 Aug 3,5,34,62,4
2007 Jul 12,15,31,63,6
2007 Jul 6,8,29,66,5
2007 Jun 11,14,32,65,3
2007 Jun 1,3,32,62,6
2007 May 10,13,33,62,5
2007 May 4,6,34,63,3
2007 Apr 13,15,36,60,4
2007 Apr 2,5,38,58,4
2007 Mar 23,25,34,62,4
2007 Mar 11,14,35,61,4
2007 Mar 2,4,33,63,4
2007 Feb 9,11,37,59,3
2007 Feb 1,4,32,65,4
2007 Jan 15,18,36,61,3
2007 Jan 12,14,34,63,4
2007 Jan 5,7,37,59,4
2006 Dec 11,14,35,61,4
2006 Dec 8,10,38,59,4
2006 Nov 9,12,33,62,4
2006 Nov 2,5,38,56,6
2006 Oct 20,22,37,58,4
2006 Oct 9,12,37,57,6
2006 Oct 6,8,37,59,4
2006 Sep 15,17,44,51,5
2006 Sep 7,10,39,56,5
2006 Aug 18,20,42,54,4
2006 Aug 7,10,37,59,4
2006 Jul 28,30,40,56,4
2006 Jul 21,23,37,59,4
2006 Jul 6,9,40,55,5
2006 Jun 23,25,37,60,3
2006 Jun 9,11,38,56,6
2006 Jun 1,4,36,57,6
2006 May 8,11,33,61,6
2006 May 5,7,31,65,5
2006 Apr 28,30,34,63,3
2006 Apr 10,13,36,59,5
2006 Apr 7,9,37,60,3
2006 Mar 13,16,37,59,5
2006 Mar 10,12,36,60,4
2006 Feb 28,1-Mar,38,60,2
2006 Feb 9,12,39,56,4
2006 Feb 6,9,42,55,4
2006 Jan 20,22,43,54,4
2006 Jan 9,12,43,53,4
2006 Jan 6,8,43,54,3
2005 Dec 19,22,43,53,4
2005 Dec 16,18,41,56,3
2005 Dec 9,11,42,55,3
2005 Dec 5,8,43,52,5
2005 Nov 17,20,38,57,5
2005 Nov 11,13,37,60,3
2005 Nov 7,10,40,55,5
2005 Oct 28,30,41,56,3
2005 Oct 24,26,41,56,3
2005 Oct 21,23,42,55,3
2005 Oct 13,16,39,58,3
2005 Sep 26,28,45,50,5
2005 Sep 16,18,40,58,2
2005 Sep 12,15,45,52,3
2005 Sep 8,11,46,51,3
2005 Aug 28,30,45,52,3
2005 Aug 22,25,40,56,4
2005 Aug 8,11,45,51,4
2005 Aug 5,7,45,51,4
2005 Jul 25,28,44,51,5
2005 Jul 22,24,49,48,3
2005 Jul 7,10,49,48,3
2005 Jun 29,30,46,51,3
